OBJECTID,StopAbbr,StopName,FacingDir,Lighting,ADA_ACCESS,BASE,Route_List,Municipality,County,Ons_Dec19,OFFs_Dec19,Position,LIFT,CURB,CURB_CUT,SIDEWALK,Stop_Type,Latitude,Longitude,Census_2010_Tracts_GA_GEOID10,Census_2010_Tracts_GA_NAMELSAD10,Census_2010_Tracts_GA_INTPTLAT10,Census_2010_Tracts_GA_INTPTLON10,NoCarPercentage19,MedHHI19,TotPop19,PerCapitaInc19,Missing Amenities,Shelter,PossibiltyOfAmentity,Notes,NSA,NSANoCar,NSAPop,NSAInc
2670,904333,MARIETTA ST NW@MEANS ST NW,SE,1,Y,CONC,26,Atlanta,Fulton,27.656462,5.268047,NS,Y,Y,Y,Y,Sign,33.773163,-84.403484,13121001002,Census Tract 10.02,33.7763249,-84.3995394,18.4,31042,7305,5419.2,  ,0,1,ROW,M02,19.1,15395,61781
2676,903665,HAMILTON E HOLMES DR NW @ WASHINGTON ST,N,1,Y,CONC,60;153;853,Atlanta,Fulton,9.055829,62.174222,NS,Y,Y,Y,Y,Sign,33.773282,-84.473467,13121008601,Census Tract 86.01,33.7814512,-84.4661915,41.6,22696,4953,12271.6,  ,0,1,ROW,J01,39.9,2501,23628
2678,904308,PONCE DE LEON AVE NE @ 675,E,1,Y,CONC,2;102,Atlanta,Fulton,78.043622,111.761134,AT,Y,Y,Y,Y,MARTA Shelter,33.773308,-84.365808,13121001300,Census Tract 13,33.7761933,-84.3715699,5.5,76188,4421,54315.2,  ,1,1,Few,G01,20.1,2617,37086
2684,904512,PONCE DE LEON AVE NE @ 680,W,1,Y,CONC,2;102,Atlanta,Fulton,112.381317,58.08168,AT,Y,Y,Y,Y,MARTA Shelter,33.77344,-84.365329,13121001300,Census Tract 13,33.7761933,-84.3715699,5.5,76188,4421,54315.2,  ,1,1,Few,J03,31.1,3256,26191
2699,904415,PONCE DE LEON AVE NE @ PONCE DE LEON CT,W,1,Y,CONC,2;102,Atlanta,Fulton,28.715932,13.306807,NS,Y,Y,Y,Y,Sign,33.773666,-84.368042,13121001300,Census Tract 13,33.7761933,-84.3715699,5.5,76188,4421,54315.2,  ,0,1,Sign Missing,M02,19.1,15395,61781
2700,904527,PONCE DE LEON AVE NE @ PONCE DE LEON PL,W,1,Y,DIRT,2;102,Atlanta,Fulton,63.904551,20.679373,NS,Y,Y,Y,Y,Sign,33.773699,-84.36362,13121001400,Census Tract 14,33.7770784,-84.3622634,2.3,84167,2345,78163.9,  ,0,1,Few,M02,19.1,15395,61781
2704,904414,PONCE DE LEON AVE NE @ MONROE DR NE,W,0,Y,CONC,2,Atlanta,Fulton,37.640932,16.719523,NS,Y,Y,Y,Y,MARTA Shelter,33.773743,-84.370636,13121001300,Census Tract 13,33.7761933,-84.3715699,5.5,76188,4421,54315.2,Lighting  ,1,1,Few,E02,15.1,8706,43785
2706,904302,PONCE DE LEON AVE NE @ KENNESAW AVE NE,E,0,Y,CONC,2;102,Atlanta,Fulton,17.123957,31.313688,FS,Y,Y,Y,Y,Sign,33.773781,-84.369666,13121001300,Census Tract 13,33.7761933,-84.3715699,5.5,76188,4421,54315.2,Lighting  ,0,0,Building,K01,30.5,4376,29559
2711,211524,PONCE DE LEON AVE @ N HIGHLAND AVE,W,1,Y,CONC,2;102,Atlanta,Fulton,82.077279,21.565021,FS,Y,Y,Y,Y,Sign,33.773916,-84.353067,13121001500,Census Tract 15,33.776497,-84.3539007,15.6,66490,4617,66322,  ,0,1,Space,K02,36.9,2984,26663
2713,904531,PONCE DE LEON AVE NE @ FREDERICA ST NE,W,1,Y,CONC,2;102,Atlanta,Fulton,56.884166,7.260903,NS,Y,Y,Y,Y,MARTA Shelter,33.773941,-84.355507,13121001500,Census Tract 15,33.776497,-84.3539007,15.6,66490,4617,66322,  ,1,1,Few,E07,11.5,20736,93312
2716,904428,PONCE DE LEON AVE NE @ BARNETT ST NE,W,1,Y,DIRT,2;102,Atlanta,Fulton,5.098287,3.654547,NS,Y,Y,Y,Y,Sign,33.773975,-84.358505,13121001500,Census Tract 15,33.776497,-84.3539007,15.6,66490,4617,66322,  ,0,0,Building,E07,11.5,20736,93312
2777,903950,DONALD L HOLLOWELL PKY @ HAMILTON E HOLMES DR,W,0,Y,CONC,50;853,Atlanta,Fulton,28.236347,57.169874,FS,Y,Y,Y,Y,Sign,33.776651,-84.474323,13121008602,Census Tract 86.02,33.7919704,-84.4904445,18.6,37708,1562,19014.1,Lighting  ,0,1,ROW,F03,6.9,9276,93094
2799,905142,MARIETTA ST NW@HAMPTON ST NW,S,1,Y,DIRT,26,Atlanta,Fulton,26.302459,2.752794,NS,Y,Y,Y,Y,Sign,33.777245,-84.408516,13121001002,Census Tract 10.02,33.7763249,-84.3995394,18.4,31042,7305,5419.2,  ,0,1,Space,F03,6.9,9276,93094
2880,904800,MIDTOWN STATION,S,1,Y,CONC,12;14;36,Atlanta,Fulton,1455.126148,1333.243114,AT,Y,Y,Y,Y,Station,33.78111,-84.386697,13121001202,Census Tract 12.02,33.776784,-84.3851557,9.8,93143,5206,76817.5,  ,0,1,Space,N02,6,7207,98023
2942,904480,N HIGHLAND AVE @ VIRGINIA AVE,S,1,Y,CONC,36;816,Atlanta,Fulton,25.720432,13.495724,NS,Y,Y,Y,Y,Sign,33.782677,-84.354515,13121000200,Census Tract 2,33.7916329,-84.3641988,0,158011,6175,107229,  ,0,1,Space,E07,11.5,20736,93312
3065,902516,PEACHTREE ST NE @ 15TH ST NE,N,1,Y,CONC,110,Atlanta,Fulton,10.862969,3.095255,FS,Y,Y,Y,Y,Sign,33.78955,-84.384343,13121000400,Census Tract 4,33.7883241,-84.3785105,8.5,97257,2047,106815.8,  ,0,1,Space,M02,19.1,15395,61781
3078,902019,PERRY BLVD@1600,SE,1,Y,CONC,26,Atlanta,Fulton,84.396017,26.784185,AT,Y,Y,Y,Y,MARTA Shelter,33.790317,-84.440622,13121008700,Census Tract 87,33.7938339,-84.4598776,22,33732,5781,23628.8,  ,1,1,Few,F03,6.9,9276,93094
3151,211916,NORTHSIDE DR NW @ TRABERT AVE NW,S,1,N,DIRT,37,Atlanta,Fulton,13.393059,2.135116,NS,N,Y,N,N,Sign,33.794839,-84.407889,13121008902,Census Tract 89.02,33.7984651,-84.4194299,4.5,72432,8007,55037.8, ADA_Access Sidewalk,0,1,Space,F03,6.9,9276,93094
3236,902578,BELLEMEADE AVE NW@TALLULAH ST NW,E,1,Y,DIRT,37,Atlanta,Fulton,23.845582,3.392102,NS,Y,Y,Y,Y,Sign,33.800296,-84.411267,13121008902,Census Tract 89.02,33.7984651,-84.4194299,4.5,72432,8007,55037.8,  ,0,1,ROW,M02,19.1,15395,61781
3239,901671,BELLEMEADE AVE NW@BUCHANAN ST NW,E,1,Y,DIRT,37,Atlanta,Fulton,24.850902,10.852577,NS,Y,Y,Y,Y,Sign,33.80037,-84.41332,13121008902,Census Tract 89.02,33.7984651,-84.4194299,4.5,72432,8007,55037.8,  ,0,0,Private Property,L02,30,2447,29463
3485,900043,LINDBERGH WAY NE @ W LINDMONT CT,E,1,N,DIRT,6,Atlanta,Fulton,9.468599,0.125,FS,Y,Y,Y,Y,Sign,33.820486,-84.364804,13121009402,Census Tract 94.02,33.8221523,-84.3642584,7.3,75088,5537,54033.6, ADA_Access ,0,1,Sign Missing,J02,25.4,4094,24736
3489,900591,LINDBERGH DR NE @ ADINA DR NE,W,1,Y,CONC,6,Atlanta,Fulton,2.939864,11.611631,NS,Y,Y,Y,Y,Sign,33.820666,-84.363153,13121009402,Census Tract 94.02,33.8221523,-84.3642584,7.3,75088,5537,54033.6,  ,0,0,Building,L02,30,2447,29463
3520,900568,BUFORD HWY NE @ LENOX POINTE,SW,1,Y,CONC,30;39,Atlanta,Fulton,85.979341,7.176151,NS,Y,Y,Y,Y,MARTA Shelter,33.825135,-84.354494,13121009403,Census Tract 94.03,33.8315945,-84.3599075,24,63269,5268,41006.9,  ,1,1,Few,E07,11.5,20736,93312
3521,900604,BUFORD HWY NE @ LENOX RD,NE,1,Y,CONC,30;39,Atlanta,Fulton,33.139607,92.855765,NS,Y,Y,Y,Y,MARTA Shelter,33.825215,-84.3537,13121009402,Census Tract 94.02,33.8221523,-84.3642584,7.3,75088,5537,54033.6,  ,1,1,Sign Missing,E07,11.5,20736,93312
3526,900601,SIDNEY MARCUS BLVD NE @ PIEDMONT RD NE,E,1,Y,CONC,30;39,Atlanta,Fulton,187.05941,1.336825,FS,Y,Y,Y,Y,MARTA Shelter,33.82574,-84.366322,13121009402,Census Tract 94.02,33.8221523,-84.3642584,7.3,75088,5537,54033.6,  ,1,1,Few,M02,19.1,15395,61781
3564,900638,PEACHTREE RD NW@SHERIDAN,S,0,Y,CONC,110,Atlanta,Fulton,22.873635,6.808765,NS,Y,Y,Y,Y,Sign,33.833595,-84.383653,13121009502,Census Tract 95.02,33.8419877,-84.3860683,13.4,86053,3867,91872,Lighting  ,0,1,ROW,M02,19.1,15395,61781
3570,900654,PEACHTREE RD NW@PEACHTREE AVE NE,N,1,Y,CONC,110,Atlanta,Fulton,49.793611,66.540515,NS,Y,Y,Y,Y,Sign,33.83479,-84.382422,13121009502,Census Tract 95.02,33.8419877,-84.3860683,13.4,86053,3867,91872,  ,0,1,ROW,E02,15.1,8706,43785
3575,902513,PEACHTREE RD @ PHARR RD NE,N,1,Y,CONC,110,Atlanta,Fulton,45.749364,52.905029,NS,Y,Y,Y,Y,MARTA Shelter,33.836966,-84.381379,13121009603,Census Tract 96.03,33.8343705,-84.3757572,10.9,83243,4830,80405.7,  ,1,1,Sign Missing,K01,30.5,4376,29559
3577,900664,PEACHTREE RD NW@PHARR RD NW,S,1,Y,CONC,110,Atlanta,Fulton,53.691118,41.945316,NS,Y,Y,Y,Y,MARTA Shelter,33.83717,-84.381653,13121009502,Census Tract 95.02,33.8419877,-84.3860683,13.4,86053,3867,91872,  ,1,1,Few,K02,36.9,2984,26663
3594,901693,PEACHTREE RD NW@MATHIESON DR NE,NE,1,Y,CONC,110,Atlanta,Fulton,8.036439,3.733465,NS,Y,Y,Y,Y,Sign,33.840317,-84.377192,13121009603,Census Tract 96.03,33.8343705,-84.3757572,10.9,83243,4830,80405.7,  ,0,1,Space,B02,4.7,3565,102562
3623,905410,PIEDMONT RD NE @ TOWER PLACE DR NE,S,1,Y,CONC,5,Atlanta,Fulton,46.644281,45.104382,NS,Y,Y,Y,Y,MARTA Shelter,33.84651,-84.372831,13121009601,Census Tract 96.01,33.8463916,-84.3777069,1.3,107386,2631,76059.9,  ,1,1,Few,J03,31.1,3256,26191
3638,905765,PEACHTREE RD NE @ LENOX RD,SW,1,Y,CONC,110,Atlanta,Fulton,21.828943,13.347831,FS,Y,Y,Y,Y,MARTA Shelter,33.850395,-84.362343,13121010002,Census Tract 100.02,33.8680492,-84.3577716,5.5,146182,8716,117703.9,  ,1,1,Few,B04,4.5,9691,127673
3675,905577,ROSWELL RD NE @ MIDVALE DR NE,N,1,Y,DIRT,5,Atlanta,Fulton,8.184929,22.695035,NS,Y,Y,Y,Y,Sign,33.872971,-84.38097,13121010001,Census Tract 100.01,33.8638108,-84.373678,3.4,108197,4923,99971.3,,0,1,Space,B04,4.5,9691,127673
