OBJECTID,StopAbbr,StopName,FacingDir,Lighting,ADA_ACCESS,BASE,Route_List,Municipality,County,Ons_Dec19,OFFs_Dec19,Position,LIFT,CURB,CURB_CUT,SIDEWALK,Stop_Type,Latitude,Longitude,Census_2010_Tracts_GA_GEOID10,Census_2010_Tracts_GA_NAMELSAD10,Census_2010_Tracts_GA_INTPTLAT10,Census_2010_Tracts_GA_INTPTLON10,NoCarPercentage19,MedHHI19,TotPop19,PerCapitaInc19,Missing Amenities,Shelter,PossibiltyOfAmentity,Notes,NSA,NSANoCar,NSAPop,NSAInc
232,145114,GREENBRIAR PKWY @ THE FONTAINEBLEAU SW,NE,1,Y,CONC,66;83;93;183,Atlanta,Fulton,317.836632,158.57318,NS,Y,Y,Y,Y,MARTA Shelter,33.688008,-84.489785,13121007705,Census Tract 77.05,33.683153,-84.4909911,27.5,25906,4043,18419.6,  ,1,1,Few,O01,14.1,4845,70047
237,145026,GREENBRIAR PKWY @ THE FONTAINEBLEAU,SW,1,Y,CONC,66;83;93;183,Atlanta,Fulton,164.175341,319.468383,NS,Y,Y,Y,Y,MARTA Shelter,33.688256,-84.489702,13121007705,Census Tract 77.05,33.683153,-84.4909911,27.5,25906,4043,18419.6,  ,1,1,Few,T04,34.9,5026,34778
239,211408,JONESBORO RD SE@MCWILLIAMS RD SE,N,1,Y,DIRT,55,Atlanta,Fulton,30.475753,4.558319,NS,Y,Y,Y,N,Sign,33.688665,-84.363947,13121007002,Census Tract 70.02,33.6920888,-84.36821,5.5,45451,2651,20640.7,  Sidewalk,0,1,"Space, Improvements",T04,34.9,5026,34778
243,150050,MCWILLIAMS RD SE @ BROWNS MILL RD SE,E,1,N,CONC,78,Atlanta,Fulton,14.719968,18.272304,FS,Y,Y,Y,Y,Sign,33.688787,-84.373875,13121007002,Census Tract 70.02,33.6920888,-84.36821,5.5,45451,2651,20640.7, ADA_Access ,0,1,Sign Missing,T04,34.9,5026,34778
244,150022,MCWILLIAMS RD SE @ CAREY DR SE,E,1,Y,DIRT,78,Atlanta,Fulton,26.129355,40.638038,FS,Y,Y,Y,Y,Sign,33.688788,-84.36978,13121007002,Census Tract 70.02,33.6920888,-84.36821,5.5,45451,2651,20640.7,  ,0,1,Space,T04,34.9,5026,34778
273,145314,GREENBRIAR PKWY @ HEADLAND DR SW,N,1,Y,CONC,66;183,Atlanta,Fulton,162.115,30.332262,FS,Y,Y,Y,Y,MARTA Shelter,33.690417,-84.488986,13121007705,Census Tract 77.05,33.683153,-84.4909911,27.5,25906,4043,18419.6,  ,1,1,Few,T04,34.9,5026,34778
315,145011,CAMPBELLTON RD@GREENBRIAR PKY,E,0,N,CONC,83,Atlanta,Fulton,50.819673,6.532378,FS,Y,Y,N,Y,MARTA Shelter,33.692724,-84.49015,13121007704,Census Tract 77.04,33.7103251,-84.4851056,32.4,35814,5878,19400.8,Lighting ADA_Access ,1,1,Few,T04,34.9,5026,34778
380,151016,FORREST PARK RD SE @ NORWOOD RD SE,N,1,Y,CONC,4,Atlanta,Fulton,9.026945,0.654438,NS,Y,Y,Y,Y,MARTA Shelter,33.696848,-84.36004,13121007100,Census Tract 71,33.6963574,-84.3546555,21.8,25489,2751,15235.2,  ,1,1,Few,V02,31.9,4464,31738
390,211405,HARPER RD SE @ BROWNS MILL RD SE,W,1,N,DIRT,55,Atlanta,Fulton,20.643229,1.876067,NS,N,Y,N,N,Sign,33.69696,-84.373728,13121007002,Census Tract 70.02,33.6920888,-84.36821,5.5,45451,2651,20640.7, ADA_Access Sidewalk,0,1,Space,V03,28.5,2964,32674
391,211592,HARPER RD SE @ JERNIGAN DR SE,W,1,N,DIRT,55,Atlanta,Fulton,8.133279,0.31879,NS,N,N,N,N,Sign,33.69696,-84.372294,13121007002,Census Tract 70.02,33.6920888,-84.36821,5.5,45451,2651,20640.7, ADA_Access Sidewalk,0,1,Space,V03,28.5,2964,32674
409,121128,PANTHER TRL SW@CHILDRESS DR SW,E,0,N,DIRT,66,Atlanta,Fulton,15.055948,2.954357,NS,N,Y,N,N,Sign,33.698129,-84.486221,13121007704,Census Tract 77.04,33.7103251,-84.4851056,32.4,35814,5878,19400.8,Lighting ADA_Access Sidewalk,0,1,ROW,V01,24.5,3177,37960
411,121134,MT GILEAD RD SW @ CASCADE PARC BLVD,E,1,N,DIRT,66,Atlanta,Fulton,31.178343,12.815055,NS,N,Y,N,N,Sign,33.698248,-84.496488,13121007704,Census Tract 77.04,33.7103251,-84.4851056,32.4,35814,5878,19400.8, ADA_Access Sidewalk,0,1,Space,W04,7.8,5597,72443
422,149045,LAKEWOOD AVE @ LAKEWOOD WAY,S,1,N,DIRT,42;178,Atlanta,Fulton,19.175116,6.339181,FS,Y,Y,N,Y,Sign,33.698895,-84.392884,13121006700,Census Tract 67,33.7021727,-84.3954527,26.7,25651,3966,19372.1, ADA_Access ,0,0,Building,R02,27.4,7486,36037
431,136110,SYLVAN RD SW@ESTES DR,N,0,Y,CONC,42;79;172,Atlanta,Fulton,77.663449,40.202554,FS,Y,Y,Y,Y,MARTA Shelter,33.699314,-84.418098,13121007500,Census Tract 75,33.6934857,-84.4097937,34,26205,3348,22392,Lighting  ,1,1,Few,R02,27.4,7486,36037
500,210654,PRYOR RD@FAIR DR,S,1,N,DIRT,42,Atlanta,Fulton,1.605435,2.841637,NS,Y,Y,N,Y,Sign,33.702666,-84.39898,13121006700,Census Tract 67,33.7021727,-84.3954527,26.7,25651,3966,19372.1, ADA_Access ,0,1,Space,R02,27.4,7486,36037
502,139020,BROWNS MILL RD SE@JONESBORO RD SE,N,1,Y,DIRT,55;155,Atlanta,Fulton,44.283462,10.069484,NS,Y,Y,Y,Y,Sign,33.702709,-84.376502,13121007002,Census Tract 70.02,33.6920888,-84.36821,5.5,45451,2651,20640.7,  ,0,1,Sign Missing,I02,10.8,3110,58172
527,122384,CAMPBELLTON RD@BENT CREEK WAY,W,0,Y,DIRT,83,Atlanta,Fulton,14.987373,82.675079,NS,Y,Y,Y,Y,Sign,33.704007,-84.46656,13121007602,Census Tract 76.02,33.7109013,-84.4621548,18.3,32500,2570,21245.8,Lighting  ,0,1,Space,R01,49.5,6831,15247
530,122064,CAMPBELLTON RD SW @ WILLIS MILL RD SW,SW,1,Y,CONC,83,Atlanta,Fulton,13.656611,66.851751,FS,Y,Y,Y,Y,MARTA Shelter,33.704308,-84.46505,13121007602,Census Tract 76.02,33.7109013,-84.4621548,18.3,32500,2570,21245.8,  ,1,1,Few,R02,27.4,7486,36037
534,122014,CAMPBELLTON RD SW @ 2280,NE,0,Y,CONC,83,Atlanta,Fulton,134.07327,29.10789,AT,Y,Y,Y,Y,MARTA Shelter,33.70454,-84.462715,13121007604,Census Tract 76.04,33.7010616,-84.4654727,39,21863,2575,18962.7,Lighting  ,1,1,Few,R01,49.5,6831,15247
558,122003,CAMPBELLTON RD @ 2170,E,1,Y,CONC,83,Atlanta,Fulton,37.420287,24.61596,AT,Y,Y,Y,Y,Sign,33.705557,-84.459225,13121007604,Census Tract 76.04,33.7010616,-84.4654727,39,21863,2575,18962.7,  ,0,1,ROW,R01,49.5,6831,15247
563,122060,CAMPBELLTON RD SW@2191,SW,0,Y,DIRT,83,Atlanta,Fulton,23.881782,64.638436,AT,Y,Y,Y,Y,Sign,33.705915,-84.459409,13121007602,Census Tract 76.02,33.7109013,-84.4621548,18.3,32500,2570,21245.8,Lighting  ,0,1,"ROW, Sign Missing",R02,27.4,7486,36037
568,140076,MCDONOUGH BLVD SE @ HENRY THOMAS DR SE,NW,1,N,DIRT,49,Atlanta,Fulton,24.515729,0.696837,FS,Y,Y,N,Y,Sign,33.706132,-84.356275,13121007100,Census Tract 71,33.6963574,-84.3546555,21.8,25489,2751,15235.2, ADA_Access ,0,1,Improvements,R02,27.4,7486,36037
573,122380,CAMPBELLTON RD@DELOWE DR,E,1,Y,CONC,83,Atlanta,Fulton,60.797628,52.60083,NS,Y,Y,Y,Y,Sign,33.706301,-84.457545,13121007604,Census Tract 76.04,33.7010616,-84.4654727,39,21863,2575,18962.7,  ,0,1,ROW,R01,49.5,6831,15247
578,121120,LANDRUM DR SW @ CHILDRESS DR SW,E,1,Y,DIRT,66,Atlanta,Fulton,43.494363,13.729703,FS,Y,Y,Y,Y,Sign,33.706379,-84.487998,13121007704,Census Tract 77.04,33.7103251,-84.4851056,32.4,35814,5878,19400.8,  ,0,0,Private Property,S02,22.6,4532,36184
582,122005,CAMPBELLTON RD@DELOWE DR,W,1,Y,CONC,83,Atlanta,Fulton,49.800138,142.226322,NS,Y,Y,Y,Y,Sign,33.706608,-84.457223,13121007602,Census Tract 76.02,33.7109013,-84.4621548,18.3,32500,2570,21245.8,  ,0,1,Improvements,S02,22.6,4532,36184
590,122372,CAMPBELLTON RD SW @ MYRTLE DR SW,E,1,Y,CONC,83;162,Atlanta,Fulton,258.829052,84.159982,NS,Y,Y,Y,Y,MARTA Shelter,33.707124,-84.455263,13121007603,Census Tract 76.03,33.7065095,-84.440383,55.1,13456,4565,12942.3,  ,1,1,Few,R02,27.4,7486,36037
600,138106,JONESBORO RD@LAKEWOOD AVE,N,1,Y,CONC,55,Atlanta,Fulton,32.63684,6.29228,FS,Y,Y,Y,Y,Sign,33.707535,-84.38015,13121006700,Census Tract 67,33.7021727,-84.3954527,26.7,25651,3966,19372.1,  ,0,1,ROW,R01,49.5,6831,15247
611,122374,CAMPBELLTON RD @ HONEYSUCKLE LN,NE,1,Y,CONC,83,Atlanta,Fulton,120.131793,13.868782,NS,Y,Y,Y,Y,MARTA Shelter,33.707963,-84.453484,13121007603,Census Tract 76.03,33.7065095,-84.440383,55.1,13456,4565,12942.3,  ,1,1,Few,R01,49.5,6831,15247
643,122410,CAMPBELLTON RD SW @ 1870,NE,1,Y,CONC,83,Atlanta,Fulton,118.977327,43.930642,AT,Y,Y,Y,YS,MARTA Shelter,33.709861,-84.448274,13121007603,Census Tract 76.03,33.7065095,-84.440383,55.1,13456,4565,12942.3,  ,1,1,ROW,R01,49.5,6831,15247
649,137054,METROPOLITAN PKWY SW @ CLAIRE DR SW,N,1,N,CONC,95;295,Atlanta,Fulton,55.523765,14.09248,NS,Y,Y,N,Y,MARTA Shelter,33.710117,-84.407837,13121006500,Census Tract 65,33.7141012,-84.4101267,13,50163,3843,34823.9, ADA_Access ,1,1,Few,R02,27.4,7486,36037
662,122032,CAMPBELLTON RD SW @ WILLOWBROOK DR,NE,1,Y,CONC,83,Atlanta,Fulton,40.195156,11.975905,NS,Y,Y,Y,Y,Simme Seat,33.710807,-84.446926,13121007603,Census Tract 76.03,33.7065095,-84.440383,55.1,13456,4565,12942.3,  ,0,1,ROW,R01,49.5,6831,15247
674,122074,CAMPBELLTON RD SW @ RIDGEWOOD LN SW,NE,1,N,CONC,83;162,Atlanta,Fulton,73.531601,9.73186,FS,Y,Y,N,Y,MARTA Shelter,33.711455,-84.442171,13121007603,Census Tract 76.03,33.7065095,-84.440383,55.1,13456,4565,12942.3, ADA_Access ,1,1,ROW,S01,25.5,4307,30318
686,137056,METROPOLITAN PKWY SW @ 1577,N,1,Y,CONC,95;295,Atlanta,Fulton,156.228036,13.35581,OP,Y,Y,Y,Y,MARTA Shelter,33.712053,-84.407715,13121006500,Census Tract 65,33.7141012,-84.4101267,13,50163,3843,34823.9,  ,1,1,Few,V02,31.9,4464,31738
689,122076,CAMPBELLTON RD SW@ALMA ST SW,E,1,N,DIRT,83;162,Atlanta,Fulton,12.460048,6.85731,NS,N,N,N,N,Sign,33.712264,-84.439666,13121007603,Census Tract 76.03,33.7065095,-84.440383,55.1,13456,4565,12942.3, ADA_Access Sidewalk,0,0,Private Property,X04,25.4,4487,35163
727,124068,METROPOLITAN PKY SW@DECKNER AVE SW,N,1,Y,CONC,95,Atlanta,Fulton,7.066435,2.601775,NS,Y,Y,Y,Y,Sign,33.713963,-84.407806,13121006500,Census Tract 65,33.7141012,-84.4101267,13,50163,3843,34823.9,  ,0,1,ROW,X04,25.4,4487,35163
785,124070,METROPOLITAN PKY SW@LYNNHAVEN DR SW,N,0,Y,DIRT,95,Atlanta,Fulton,26.054576,6.627964,NS,Y,Y,Y,Y,Sign,33.715893,-84.407776,13121006500,Census Tract 65,33.7141012,-84.4101267,13,50163,3843,34823.9,Lighting  ,0,1,ROW,V02,31.9,4464,31738
822,123028,CAMPBELLTON RD SW@OAKLAND DR SW,SW,0,Y,DIRT,83;162,Atlanta,Fulton,36.019401,0.044444,NS,Y,Y,Y,Y,Sign,33.717639,-84.427377,13121006602,Census Tract 66.02,33.7186105,-84.4286624,37.4,25375,1248,15162.7,Lighting  ,0,1,ROW,Y03,21.3,3125,23318
843,125046,JONESBORO RD SE @ MCDONOUGH BLVD SE,NW,1,Y,DIRT,55,Atlanta,Fulton,28.3852,5.034627,NS,Y,Y,Y,Y,Sign,33.719056,-84.384956,13121005502,Census Tract 55.02,33.7162175,-84.3867651,20.2,21804,2846,16659.2,  ,0,1,Space,Y03,21.3,3125,23318
855,121162,CASCADE RD SW @ ADAMS DR SW,E,1,N,CONC,66;71,Atlanta,Fulton,29.59494,11.019285,NS,Y,Y,N,N,MARTA Shelter,33.719827,-84.486386,13121007704,Census Tract 77.04,33.7103251,-84.4851056,32.4,35814,5878,19400.8, ADA_Access Sidewalk,1,1,Few,W03,4.5,5118,116579
865,125048,MCDONOUGH BLVD SE@MARCY ST SE,NW,1,Y,DIRT,55,Atlanta,Fulton,3.927256,0.304116,FS,Y,Y,Y,Y,Sign,33.720228,-84.38625,13121005502,Census Tract 55.02,33.7162175,-84.3867651,20.2,21804,2846,16659.2,  ,0,1,Space,W04,7.8,5597,72443
884,122250,CASCADE RD SW @ POLLARD DR SW,E,1,Y,CONC,71,Atlanta,Fulton,15.496091,5.284289,NS,Y,Y,Y,Y,MARTA Shelter,33.721316,-84.455549,13121008000,Census Tract 80,33.7245322,-84.4555815,16.3,43854,5529,25607.8,  ,1,1,Few,X04,25.4,4487,35163
887,211309,UNIVERSITY AVE SW @ PRYOR RD SW,E,1,N,DIRT,55,Atlanta,Fulton,12.365854,24.997727,FS,Y,Y,N,N,Sign,33.721407,-84.392425,13121006300,Census Tract 63,33.7237613,-84.3997049,38.3,31483,1492,24729.6, ADA_Access Sidewalk,0,1,Space,X03,40,2772,19643
916,127052,MORELAND AVE SE @ VILLAGE CREEK LNDG,N,1,Y,CONC,4;832,Atlanta,Fulton,76.973355,18.792768,FS,Y,Y,Y,Y,MARTA Shelter,33.722184,-84.349424,13089020900,Census Tract 209,33.7363585,-84.3370089,7.8,71618,5927,47614,  ,1,1,Few,X04,25.4,4487,35163
922,124058,METROPOLITAN PKY SW @ UNIVERSITY AVE,S,1,Y,DIRT,95,Atlanta,Fulton,13.473699,67.716196,NS,Y,Y,Y,Y,Sign,33.722273,-84.40791,13121005800,Census Tract 58,33.731861,-84.4105985,23.4,42679,1479,25237.5,  ,0,1,ROW,X04,25.4,4487,35163
950,122240,CASCADE AVE SW @ AVON AVE SW,NE,1,Y,DIRT,71,Atlanta,Fulton,14.514014,2.815321,NS,Y,Y,Y,Y,Sign,33.723175,-84.45027,13121008000,Census Tract 80,33.7245322,-84.4555815,16.3,43854,5529,25607.8,  ,0,1,ROW,Y04,17.6,2162,34731
962,124077,METROPOLITAN PKY SW@MAYLAND AVE SW,N,1,Y,CONC,95,Atlanta,Fulton,12.95366,3.972062,NS,Y,Y,Y,Y,Sign,33.724471,-84.407749,13121006300,Census Tract 63,33.7237613,-84.3997049,38.3,31483,1492,24729.6,  ,0,1,ROW,Y04,17.6,2162,34731
1017,127040,UNITED AVE @ UNDERWOOD AVE,W,1,N,DIRT,832,Atlanta,Fulton,21.722655,5.52987,NS,Y,Y,N,Y,Sign,33.72664,-84.357185,13121005200,Census Tract 52,33.7355107,-84.3544773,4.5,111759,5170,59445.1, ADA_Access ,0,0,"Hill, Private Property",W02,16.7,3661,66873
1030,114088,METROPOLITAN PKWY SW @ BROOKLINE ST SW,N,1,Y,CONC,95,Atlanta,Fulton,10.883727,1.676851,FS,Y,Y,Y,Y,MARTA Shelter,33.727286,-84.407664,13121006300,Census Tract 63,33.7237613,-84.3997049,38.3,31483,1492,24729.6,  ,1,1,Few,R02,27.4,7486,36037
1033,211401,UNITED AVE @ CONFEDERATE CT,W,1,N,DIRT,832,Atlanta,Fulton,25.986615,2.927381,NS,Y,Y,N,Y,Sign,33.727363,-84.362304,13121005200,Census Tract 52,33.7355107,-84.3544773,4.5,111759,5170,59445.1, ADA_Access ,0,1,"ROW, Improvements",R03,27.5,4043,26298
1043,900142,CASCADE AVE SW @ ORLANDO ST SW,E,0,Y,DIRT,71,Atlanta,Fulton,26.103656,2.302042,NS,Y,Y,Y,Y,Sign,33.727827,-84.443085,13121006100,Census Tract 61,33.7277552,-84.4370324,20.4,29323,3908,15885.3,Lighting  ,0,0,Private Property,R03,27.5,4043,26298
1067,115174,HANK AARON DR@VANIRA AVE SE,N,1,Y,CONC,55,Atlanta,Fulton,11.247551,2.239115,NS,Y,Y,Y,Y,Sign,33.728989,-84.387825,13121005501,Census Tract 55.01,33.729867,-84.3837371,24.5,37647,2547,25104.4,  ,0,1,Sign Missing,R03,27.5,4043,26298
1081,900209,CASCADE AVE SW@PINEVIEW TER SW,NE,1,Y,DIRT,71,Atlanta,Fulton,23.245571,1.837692,NS,Y,Y,Y,Y,Sign,33.729683,-84.440666,13121006100,Census Tract 61,33.7277552,-84.4370324,20.4,29323,3908,15885.3,  ,0,1,ROW,R03,27.5,4043,26298
1106,212799,ATLANTA AVE SE @ MARION AVE SE,W,1,Y,DIRT,832,Atlanta,Fulton,8.133369,0.3,NS,Y,Y,Y,Y,Sign,33.730433,-84.365544,13121005300,Census Tract 53,33.7321402,-84.3708876,8.4,102303,3861,60699.7,  ,0,0,Private Property,Z04,23.5,4322,31018
1122,900211,CASCADE AVE SW@RICHLAND RD SW,NE,0,Y,CONC,71,Atlanta,Fulton,27.025504,3.662791,NS,Y,Y,Y,Y,Sign,33.731194,-84.439178,13121006100,Census Tract 61,33.7277552,-84.4370324,20.4,29323,3908,15885.3,Lighting  ,0,0,Private Property,Y04,17.6,2162,34731
1131,115166,HANK AARON DR@ORMOND ST SE,N,1,Y,CONC,55,Atlanta,Fulton,31.504791,5.383763,NS,Y,Y,Y,Y,MARTA Shelter,33.731518,-84.387779,13121005501,Census Tract 55.01,33.729867,-84.3837371,24.5,37647,2547,25104.4,  ,1,1,Few,Z04,23.5,4322,31018
1174,900247,CASCADE AVE SW @ BEECHER ST SW,NE,1,Y,CONC,71,Atlanta,Fulton,46.655305,6.250809,NS,Y,Y,Y,Y,Sign,33.733199,-84.437509,13121006100,Census Tract 61,33.7277552,-84.4370324,20.4,29323,3908,15885.3,  ,0,0,Building,Z04,23.5,4322,31018
1206,115188,HANK AARON DR @ BILL LUCAS DR SE,N,1,Y,DIRT,55,Atlanta,Fulton,2.62265,1.161762,NS,Y,Y,Y,Y,Sign,33.734406,-84.387848,13121005501,Census Tract 55.01,33.729867,-84.3837371,24.5,37647,2547,25104.4,  ,0,1,ROW,Z01,14.7,3338,34511
1220,900147,CASCADE AVE SW@ALLEGHENY ST SW,NE,1,Y,DIRT,71,Atlanta,Fulton,41.645458,4.804017,NS,Y,Y,Y,Y,Sign,33.734879,-84.436554,13121006000,Census Tract 60,33.7379611,-84.4390857,26.1,38708,3722,22271,  ,0,1,"ROW, Private Property",X03,40,2772,19643
1308,113120,RALPH DAVID ABERNATH BLVD SW@ASHBY,E,1,Y,CONC,71,Atlanta,Fulton,22.460916,64.162466,NS,Y,Y,Y,Y,Sign,33.737913,-84.418205,13121004200,Census Tract 42,33.7390424,-84.4181854,52.6,18913,2477,21927.6,  ,0,1,ROW,X02,35.4,2349,24630
1310,113116,RALPH DAVID ABERNATH BLVD@PEEPLES,E,1,Y,CONC,71,Atlanta,Fulton,22.667338,14.225973,NS,Y,Y,Y,Y,Sign,33.738,-84.420632,13121004200,Census Tract 42,33.7390424,-84.4181854,52.6,18913,2477,21927.6,  ,0,1,ROW,X02,35.4,2349,24630
1315,900149,CASCADE AVE SW @ WESTWOOD AVE SW,W,1,Y,DIRT,71,Atlanta,Fulton,35.272729,250.876941,NS,Y,Y,Y,Y,Sign,33.738094,-84.435317,13121006000,Census Tract 60,33.7379611,-84.4390857,26.1,38708,3722,22271,  ,0,1,ROW,X02,35.4,2349,24630
1316,113068,RALPH DAVID ABERNATH BLVD@PEEPLES S,W,1,Y,DIRT,71,Atlanta,Fulton,15.124884,33.42915,NS,Y,Y,Y,Y,Sign,33.73811,-84.420235,13121004200,Census Tract 42,33.7390424,-84.4181854,52.6,18913,2477,21927.6,  ,0,1,ROW,Z03,19.4,6186,33342
1321,114082,RALPH D ABERNATHY BLVD @ W WHITEHALL ST,E,1,Y,CONC,1;40;58;71;95;155;832,Atlanta,Fulton,146.086771,88.910522,NS,Y,Y,Y,Y,MARTA Shelter,33.738185,-84.413155,13121004200,Census Tract 42,33.7390424,-84.4181854,52.6,18913,2477,21927.6,  ,1,1,Few,Z04,23.5,4322,31018
1322,113122,RALPH DAVID ABERNATH BLVD SW@EVANS,E,1,Y,DIRT,1;58;71,Atlanta,Fulton,28.368096,94.840599,NS,Y,Y,Y,Y,Sign,33.738201,-84.415785,13121004200,Census Tract 42,33.7390424,-84.4181854,52.6,18913,2477,21927.6,  ,0,1,ROW,Z04,23.5,4322,31018
1330,113166,RALPH D ABERNATHY BLVD SW @ DUNN ST SW,W,1,Y,CONC,71,Atlanta,Fulton,101.153501,0.115627,NS,Y,Y,Y,Y,MARTA Shelter,33.738338,-84.416122,13121004200,Census Tract 42,33.7390424,-84.4181854,52.6,18913,2477,21927.6,  ,1,1,ROW,Z04,23.5,4322,31018
1346,903419,S GORDON ST SW @ WESTWOOD AVE SW,N,1,Y,CONC,68,Atlanta,Fulton,21.412741,1.253401,NS,Y,Y,Y,Y,Sign,33.73857,-84.446462,13121006000,Census Tract 60,33.7379611,-84.4390857,26.1,38708,3722,22271,  ,0,0,Private Property,Z04,23.5,4322,31018
1350,900175,CASCADE AVE @ RALPH D ABERNATHY BLVD,NE,1,Y,CONC,71,Atlanta,Fulton,185.484445,21.875528,NS,Y,Y,Y,Y,MARTA Shelter,33.73874,-84.4336,13121006000,Census Tract 60,33.7379611,-84.4390857,26.1,38708,3722,22271,  ,1,1,Few,Z04,23.5,4322,31018
1427,105264,GLENWOOD AVE SE @ EVA DAVIS WAY,W,1,Y,CONC,24;107,Atlanta,DeKalb,63.486517,24.724715,NS,Y,Y,Y,Y,MARTA Shelter,33.740196,-84.313865,13089020802,Census Tract 208.02,33.7468474,-84.3021431,15,73981,4411,41281.5,  ,1,1,Few,P06,21.7,2764,45173
1452,900134,EVA DAVIS WAY @ GREENHAVEN DR SE,NW,1,Y,CONC,24,Atlanta,DeKalb,13.430005,2.654658,FS,Y,Y,Y,Y,MARTA Bench,33.741208,-84.314484,13089020802,Census Tract 208.02,33.7468474,-84.3021431,15,73981,4411,41281.5,  ,0,1,Few,M01,22.6,16557,48855
1453,117118,MORELAND AVE SE @ METROPOLITAN AVE SE,N,1,Y,DIRT,4;32;74,Atlanta,Fulton,17.250741,11.416191,NS,Y,Y,Y,Y,Sign,33.74122,-84.34914,13089020900,Census Tract 209,33.7363585,-84.3370089,7.8,71618,5927,47614,  ,0,1,ROW,Y04,17.6,2162,34731
1477,100090,LUCILE AVE SW @ ATWOOD ST SW,E,1,N,CONC,58,Atlanta,Fulton,11.966402,3.21545,NS,Y,Y,N,Y,Sign,33.742262,-84.428855,13121004100,Census Tract 41,33.7408497,-84.428069,16.7,54208,2214,24891, ADA_Access ,0,0,Private Property,M01,22.6,16557,48855
1554,103083,HILL ST SE @ WOODWARD AVE SE,N,1,Y,DIRT,9;186,Atlanta,Fulton,10.473078,11.341748,NS,Y,Y,Y,Y,Sign,33.745528,-84.379248,13121004900,Census Tract 49,33.7409122,-84.3794479,12.4,84655,2835,46973.7,  ,0,1,Space,M01,22.6,16557,48855
1561,211457,MCDANIEL ST @ NORTHSIDE DR SW,SE,1,Y,DIRT,813,Atlanta,Fulton,38.953663,4.765185,FS,Y,Y,Y,Y,Sign,33.745825,-84.406087,13121004300,Census Tract 43,33.745362,-84.4091076,20.3,36750,2846,16606.3,  ,0,1,Space,M01,22.6,16557,48855
1623,106168,MEMORIAL DR SE @ CANDLER RD SE,E,1,Y,CONC,21;823,Atlanta,DeKalb,57.162332,21.99379,FS,Y,Y,Y,Y,MARTA Shelter,33.747039,-84.291395,13089020802,Census Tract 208.02,33.7468474,-84.3021431,15,73981,4411,41281.5,  ,1,0,Private Property,Z04,23.5,4322,31018
1646,106084,CANDLER RD @ MEMORIAL DR SE,S,1,Y,CONC,15,Atlanta,DeKalb,61.515363,24.060627,NS,Y,Y,Y,Y,MARTA Bench,33.747263,-84.292145,13089020802,Census Tract 208.02,33.7468474,-84.3021431,15,73981,4411,41281.5,  ,0,1,Space,V03,28.5,2964,32674
1654,105218,MEMORIAL DR SE@DOUGLAS ST SE,E,1,Y,DIRT,21,Atlanta,DeKalb,0.71505,6.851903,NS,Y,Y,Y,N,Sign,33.747313,-84.319886,13089023700,Census Tract 237,33.7313084,-84.3183573,11.2,47712,6054,26696.8,  Sidewalk,0,1,ROW,Z03,19.4,6186,33342
1662,105455,MEMORIAL DR SE @ DOUGLAS ST SE,W,1,Y,CONC,21,Atlanta,DeKalb,4.662723,1.431619,NS,Y,Y,Y,Y,Sign,33.747366,-84.319451,13089020801,Census Tract 208.01,33.7558505,-84.3162082,2.6,94662,2509,54075.3,  ,0,1,ROW,W03,4.5,5118,116579
1671,105448,MEMORIAL DR SE @ WARREN ST SE,W,1,N,CONC,21,Atlanta,DeKalb,14.719057,27.384796,NS,N,Y,Y,Y,Sign,33.747429,-84.326234,13089020700,Census Tract 207,33.7538959,-84.3249841,12.4,95417,2634,43834.6, ADA_Access ,0,0,Private Property,Z01,14.7,3338,34511
1677,105572,MEMORIAL DR @ E LAKE TER,W,1,Y,CONC,21,Atlanta,DeKalb,17.7492,10.810035,NS,Y,Y,Y,Y,MARTA Bench,33.74749,-84.313846,13089020802,Census Tract 208.02,33.7468474,-84.3021431,15,73981,4411,41281.5,  ,0,1,Space,Z01,14.7,3338,34511
1707,901047,MORELAND AVE SE @ MEMORIAL DR SE,SE,1,Y,DIRT,4;32;74,Atlanta,Fulton,25.50481,36.832092,NS,Y,Y,Y,Y,Sign,33.747774,-84.349311,13121003100,Census Tract 31,33.7520808,-84.3530446,18,62250,2051,45758.9,  ,0,1,Private Property,L02,30,2447,29463
1718,102150,CAPITOL SQ SW @ CAPITOL PL SW,SE,1,Y,CONC,21;55,Atlanta,Fulton,23.112678,6.70585,NS,Y,Y,Y,Y,Sign,33.748217,-84.38812,13121003500,Census Tract 35,33.7508367,-84.3916061,10.2,53889,2074,27707.6,  ,0,1,ROW,T02,26,7446,36868
1748,101126,PETERS ST SW @ HAYNES ST SW,N,1,Y,CONC,813,Atlanta,Fulton,5.393316,1.445991,NS,Y,Y,Y,Y,Sign,33.749075,-84.39975,13121003500,Census Tract 35,33.7508367,-84.3916061,10.2,53889,2074,27707.6,  ,0,1,ROW,J03,31.1,3256,26191
1828,102173,DECATUR ST SE @ JESSE HILL JR DR SE,SE,1,Y,CONC,186,Atlanta,Fulton,29.556047,8.142219,NS,Y,Y,Y,Y,MARTA Shelter,33.7506,-84.384285,13121011900,Census Tract 119,33.7539369,-84.382691,34,25699,3517,26807,  ,1,1,ROW,F03,6.9,9276,93094
